nombre;precio_original;precio_actual;imagen;url
PUERTO DE INDIAS ginebra sabor fresa botella 70 cl;16,45 €;15,95 €;https://s0.dia.es/medias/h22/h98/11358300995614.jpg;https://www.dia.es/compra-online/bodega/alcoholes/ginebra/p/209537
AQUARIUS bebida refrescante de naranja lata 33 cl;0,85 €;0,80 €;https://s2.dia.es/medias/productimages/h28/ha7/11397233868830.jpg;https://www.dia.es/compra-online/bebidas/bebidas-isotonicas-y-energeticas/p/21347
NORDES ginebra botella 70 cl;26,19 €;23,95 €;https://s2.dia.es/medias/hfb/h44/11118960050206.jpg;https://www.dia.es/compra-online/bodega/alcoholes/ginebra/p/223716
SELECCIÓN DE DIA pechugas de pollo fileteadas bandeja (peso aprox. 600 gr);5,09 €;3,95 €;https://s0.dia.es/medias/h79/hc0/10607750742046.jpg;https://www.dia.es/compra-online/frescos/carne/pollo/p/21977
BUJANDA revuelto de setas frasco 140 gr;1,99 €;1,59 €;https://s2.dia.es/medias/hb8/ha7/9076053934110.jpg;https://www.dia.es/compra-online/despensa/conservas/conservas-vegetales/p/232803
PULEVA batido de chocolate sin lactosa pack 6 uds 200 ml;2,99 €;2,39 €;https://s3.dia.es/medias/productimages/h5e/hfd/11152490987550.jpg;https://www.dia.es/compra-online/bebidas/batidos-y-horchata/p/241808
PALACIOS tortilla de patatas con cebolla envase 650 gr;4,95 €;3,92 €;https://s3.dia.es/medias/productimages/hab/hf7/11393176240158.jpg;https://www.dia.es/compra-online/platos-preparados/tortillas/p/239160
LITORAL fabada asturiana menos 30% sal y M.G. lata 435 gr;2,69 €;2,00 €;https://s2.dia.es/medias/productimages/h55/h40/11361880375326.jpg;https://www.dia.es/compra-online/platos-preparados/legumbres/p/244183
AQUARIUS bebida refrescante de naranja zero lata 33 cl;0,85 €;0,80 €;https://s3.dia.es/medias/productimages/hdf/h7d/11397240094750.jpg;https://www.dia.es/compra-online/bebidas/bebidas-isotonicas-y-energeticas/p/242638
COCA-COLA zero zero pack 2 botellas 2 lt;4,00 €;3,68 €;https://s2.dia.es/medias/productimages/hf7/h8d/11397324308510.jpg;https://www.dia.es/compra-online/bebidas/refrescos/p/250113
